Designation (and name)     Prov. Des.  Ln      q       Q      H     Epoch      M     Peri.  Node    Incl.   e      a      Opps.     Ref.
(252179)                   2001 DN60   L4    4.606   5.755  13.34  20230913   24.21  120.4  315.8    4.5  0.111   5.181    16     MPO778796
(252683)                   2002 AE166  L4    4.940   5.317  13.26  20230913  327.09  203.9  286.2    6.0  0.037   5.129    17     MPO778802
(252698)                   2002 CL54   L4    4.801   5.626  13.19  20230913  282.50  199.4  325.5    3.6  0.079   5.213    17     MPO730036
(252702)                   2002 CB91   L4    4.541   5.664  13.08  20230913   18.76   60.0    9.0    5.4  0.110   5.102    16     MPO778802
(252711)                   2002 CU152  L4    4.903   5.468  13.31  20230913  313.08  123.7    3.4    6.9  0.055   5.185    16     MPO730037
(252720)                   2002 CE201  L4    4.778   5.455  13.23  20230913   23.16  278.6  143.3   11.3  0.066   5.116    17     MPO730037
(252724)                   2002 CN228  L4    5.040   5.398  12.74  20230913  281.34  266.0  259.1    7.5  0.034   5.219    16     E2023-FL5
(252737)                   2002 CW306  L4    4.602   5.579  13.42  20230913    9.65  123.9  311.2   17.6  0.096   5.090    13     MPO778802
(252740)                   2002 CO315  L4    4.234   6.149  12.79  20230913    5.23   14.4   68.0   17.8  0.184   5.191    15     MPO778803
(252741)                   2002 CW315  L4    4.865   5.600  13.81  20230913    7.14   84.3  358.3    0.9  0.070   5.232    18     MPO778803
(252742)                   2002 DG19   L4    4.849   5.556  13.62  20230913    2.03  128.0  319.7    2.7  0.068   5.203    17     MPO778803
(252743)                   2002 EJ1    L4    4.710   5.690  13.25  20230913  326.20  320.9  151.6    9.8  0.094   5.200    17     MPO778803
(252746)                   2002 EX5    L4    4.924   5.641  13.00  20230913    1.53  291.3  145.8    9.4  0.068   5.282    19     E2023-E73
(252762)                   2002 EY58   L4    4.743   5.634  12.76  20230913   23.41   83.0  334.5    9.6  0.086   5.188    16     MPO778803
(252849)                   2002 GA139  L4    4.693   5.795  12.74  20230913  354.45   45.3   59.0   22.0  0.105   5.244    14     MPO778803
(253330)                   2003 ER63   L4    5.125   5.416  13.14  20230913  305.77   88.4   56.1    7.0  0.028   5.270    16     MPO778808
(253340)                   2003 FF39   L4    4.815   5.523  13.45  20230913  346.28  255.8  201.1    5.4  0.069   5.169    15     MPO730042
(253343)                   2003 FC48   L4    4.422   5.840  13.70  20230913  359.74   87.2    2.9    6.8  0.138   5.131    16     MPO778808
(253347)                   2003 FJ64   L4    5.011   5.340  13.00  20230913  263.75   89.5  100.6    8.6  0.032   5.175    19     MPO778808
(253348)                   2003 FP71   L4    4.788   5.551  13.01  20230913  352.51   62.7   28.2   11.6  0.074   5.169    15     MPO778808
(253356)                   2003 FA133  L4    4.788   5.508  13.68  20230913   61.92   16.6   20.4    3.0  0.070   5.148    17     MPO778808
(253357)                   2003 FO133  L4    4.847   5.513  13.92  20230913  338.01  215.4  261.2    3.6  0.064   5.180    15     MPO778808
(253362)                   2003 GL24   L4    4.964   5.527  13.36  20230913  118.56  287.6   52.2   11.4  0.054   5.246    17     MPO778808
(253364)                   2003 GO27   L4    4.835   5.505  13.64  20230913  331.69  108.1    7.4    6.6  0.065   5.170    15     MPO778808
(253377)                   2003 HC43   L4    4.949   5.484  13.29  20230913  267.54  158.8   18.9    8.6  0.051   5.217    16     MPO778808
(253380)                   2003 HY58   L4    4.793   5.741  13.01  20230913  338.73   53.1   68.0   17.2  0.090   5.267    16     MPO778808
(253382)                   2003 JG8    L4    5.099   5.479  12.62  20230913  306.34   93.4   57.1   19.9  0.036   5.289    17     MPO778808
(254079)                   2004 HT78   L4    4.888   5.436  13.26  20230913   57.20  357.9   48.1   12.4  0.053   5.162    16     MPO778813
(254465)                   2005 CC69   L4    4.967   5.438  13.93  20230913   68.59  294.0   82.1    1.7  0.045   5.202    16     MPO730051
(254630)                   2005 JJ60   L4    4.919   5.209  13.42  20230913   61.28  265.7  121.1    7.1  0.029   5.064    18     MPO778815
(254669)                   2005 LO19   L4    4.781   5.535  12.38  20230913   54.17  305.3  100.0   18.1  0.073   5.158    19     MPO778815
(254679)                   2005 LU50   L4    4.545   5.802  13.04  20230913   39.19  260.6  154.3   13.5  0.121   5.173    16     MPO778815
(254681)                   2005 MU3    L4    4.976   5.368  12.69  20230913   80.20  280.2   90.6   15.1  0.038   5.172    18     MPO778815
(254682)                   2005 MW3    L4    4.801   5.563  12.85  20230913  123.07  232.2  101.6   11.0  0.074   5.182    18     MPO778815
(254691)                   2005 MG24   L4    4.795   5.581  13.11  20230913   41.69  173.3  236.5   30.7  0.076   5.188    13     E2023-FI9
(256505)                   2007 EY98   L5    4.558   5.858  13.07  20230913   34.08  260.6   35.8    4.4  0.125   5.208    18     MPO778828
(256550)                   2007 LV14   L4    4.562   5.919  13.33  20230913  335.96   70.2   48.8    6.2  0.129   5.240    19     MPO778828
(256553)                   2007 PT4    L4    4.637   5.690  13.59  20230913   11.49  197.3  259.4    6.1  0.102   5.164    15     MPO730067
(256556)                   2007 RD237  L4    5.065   5.338  13.63  20230913  358.60  151.4  306.5    3.8  0.026   5.201    17     MPO778828
(257173)                   2008 JF13   L5    5.024   5.498  13.29  20230913   39.05  170.2  141.5   12.5  0.045   5.261    17     MPO778833
(257193)                   2008 PK19   L4    4.985   5.545  13.67  20230913   20.83  335.1   72.7    0.8  0.053   5.265    17     MPO778833
(257195)                   2008 QY41   L4    4.787   5.448  13.54  20230913   79.93   60.9  309.2    9.1  0.065   5.118    18     MPO778833
(257196)                   2008 RE3    L4    5.077   5.497  14.03  20230913  353.11  193.0  263.4    2.1  0.040   5.287    17     MPO730072
(257197)                   2008 RG33   L4    5.066   5.399  13.24  20230913   97.90   17.0  335.5    7.2  0.032   5.232    17     MPO778833
(257198)                   2008 RE54   L4    4.849   5.582  14.16  20230913   70.37  152.2  213.1    7.8  0.070   5.216    16     MPO730072
(257199)                   2008 RW58   L4    4.774   5.537  13.63  20230913   68.44  238.9  160.6    3.5  0.074   5.156    19     MPO778833
(257200)                   2008 RJ65   L4    4.714   5.604  13.53  20230913  142.58  285.4   22.2    8.5  0.086   5.159    17     MPO778833
(257201)                   2008 RT66   L4    5.134   5.396  13.13  20230913  355.72  303.8  152.7   10.6  0.025   5.265    15     MPO730072
(257202)                   2008 RU122  L4    4.940   5.599  13.23  20230913  338.95  181.8  280.1    4.3  0.062   5.269    17     MPO730072
(257203)                   2008 RW122  L4    4.721   5.801  13.21  20230913  357.53  146.1  305.6    5.4  0.103   5.261    17     MPO778833
(257204)                   2008 SQ220  L4    4.877   5.333  13.66  20230913   49.23  220.9  186.8    6.7  0.045   5.105    16     MPO730072
(257205)                   2008 TT64   L4    4.640   5.890  13.64  20230913    2.06  110.7  342.7    3.6  0.119   5.265    15     MPO778833
(257206)                   2008 UA     L4    4.946   5.587  12.92  20230913   10.44  188.0  251.3   23.0  0.061   5.266    12     MPO730072
(257375)                   2009 QZ47   L4    4.664   5.669  13.02  20230913   36.75  237.2  168.9   13.3  0.097   5.167    18     MPO778834
(257376)                   2009 QW57   L4    4.876   5.443  13.64  20230913  289.99  283.7  217.3    5.2  0.055   5.159    19     MPO778834
(257380)                   2009 SO10   L4    5.037   5.469  13.45  20230913    8.24    1.6   68.2    3.9  0.041   5.253    17     E2023-C67
(257381)                   2009 SK38   L4    4.724   5.686  14.04  20230913  324.27  245.4  251.1    2.6  0.092   5.205    15     MPO778834
(257383)                   2009 SO52   L4    4.766   5.537  13.45  20230913   17.86   26.3   50.6    4.7  0.075   5.151    16     MPO778834
(257384)                   2009 SO60   L4    4.912   5.468  13.58  20230913   79.86  120.6  245.3    7.0  0.054   5.190    18     MPO778834
(257385)                   2009 ST121  L4    4.813   5.406  13.43  20230913    3.44  242.0  212.4    7.0  0.058   5.109    17     MPO730074
(257386)                   2009 SN122  L4    4.381   6.123  13.24  20230913  356.13  246.5  209.2    8.8  0.166   5.252    16     MPO778835
(257387)                   2009 SO137  L4    5.091   5.189  13.93  20230913  259.18  355.1  206.7    6.6  0.010   5.140    15     MPO730074
(257388)                   2009 SD154  L4    4.804   5.530  13.96  20230913  343.85   86.5   18.5    4.2  0.070   5.167    16     MPO730074
(257389)                   2009 SY155  L4    4.877   5.320  13.44  20230913  338.74  100.2   21.3    4.8  0.044   5.099    18     MPO778835
(257390)                   2009 SM189  L4    4.593   5.642  13.93  20230913   58.03   70.2  318.5    6.3  0.102   5.117    14     MPO778835
(257392)                   2009 ST203  L4    4.984   5.417  13.37  20230913  351.71  205.4  259.2    3.4  0.042   5.200    17     MPO778835
(257393)                   2009 SZ211  L4    4.739   5.506  13.80  20230913  343.35  274.1  210.9    4.6  0.075   5.122    17     MPO778835
(257394)                   2009 SV215  L4    4.772   5.427  13.95  20230913   44.32  232.9  172.1    3.1  0.064   5.100    17     MPO778835
(257395)                   2009 SW216  L4    4.474   5.941  12.97  20230913  336.31   97.4   12.4   16.4  0.141   5.208    14     MPO730074
(257397)                   2009 SL229  L4    4.791   5.624  13.31  20230913  357.07  289.0  143.6    4.7  0.080   5.207    18     MPO778835
(257398)                   2009 SY246  L4    4.836   5.638  13.65  20230913  348.85  217.3  239.2    7.7  0.077   5.237    17     MPO730074
(257399)                   2009 SX253  L4    4.860   5.771  13.12  20230913  275.37  126.2   45.0   16.8  0.086   5.316    14     E2023-F72
(257400)                   2009 SK264  L4    5.096   5.326  13.08  20230913   40.38  275.8  120.8    5.5  0.022   5.211    17     MPO730074
(257401)                   2009 SM264  L4    4.300   6.078  12.95  20230913   12.73   59.8   26.2   27.7  0.171   5.189    11     MPO778835
(257402)                   2009 SG297  L4    4.952   5.591  12.54  20230913   34.06  157.8  248.1   15.0  0.061   5.271    16     E2023-FL5
(257404)                   2009 SF315  L4    4.859   5.549  13.15  20230913   18.25  137.4  287.6    7.0  0.066   5.204    17     MPO730074
(257405)                   2009 SG330  L4    4.491   5.864  12.29  20230913  348.02  237.0  232.8   20.8  0.133   5.178    18     MPO778835
(257406)                   2009 ST334  L4    4.811   5.446  13.17  20230913   58.71  153.9  234.8    4.8  0.062   5.128    17     MPO778835
(257407)                   2009 SO356  L4    4.599   5.939  13.78  20230913  316.79   18.8  116.7    4.7  0.127   5.269    14     MPO730074
(257409)                   2009 SB360  L4    4.518   5.831  13.14  20230913   48.68  138.9  271.6    7.2  0.127   5.174    16     MPO778835
(257411)                   2009 TM18   L4    4.826   5.664  12.90  20230913   17.26  170.8  252.4    8.6  0.080   5.245    18     E2023-FL5
(257412)                   2009 UY2    L4    4.400   5.965  12.83  20230913   33.92  267.1  157.7   13.1  0.151   5.182    17     MPO778835
(257413)                   2009 UB61   L4    4.761   5.464  13.17  20230913    5.36   43.6   51.1   10.6  0.069   5.113    17     MPO778835
(257415)                   2009 UP118  L4    4.987   5.459  14.09  20230913  311.39  314.0  180.6    1.8  0.045   5.223    15     MPO730074
(257416)                   2009 UV147  L4    4.932   5.556  13.02  20230913  347.89   54.9   41.8   22.0  0.060   5.244    13     MPO778835
(257418)                   2009 WD2    L4    4.853   5.580  13.58  20230913    9.42  356.1   87.4    3.3  0.070   5.216    18     MPO778835
(257486)                   1995 SC24   L4    5.086   5.581  14.03  20230913   85.97  240.6  153.1    4.4  0.046   5.334    17     MPO721760
(257495)                   1995 UE67   L4    5.178   5.347  13.71  20230913  114.87   35.2  344.3    5.9  0.016   5.262    17     MPO778835
(257505)                   1996 RH33   L4    4.901   5.510  13.13  20230913   73.38  317.4   66.7    7.2  0.059   5.206    18     MPO778835
(257561)                   1998 TS25   L4    4.709   5.636  13.47  20230913  323.07  266.7  224.2   14.0  0.090   5.173    16     MPO730075
(257566)                   1998 WP37   L4    4.821   5.598  13.38  20230913  344.07   43.3   60.0    9.8  0.075   5.209    16     MPO730075
(257775)                   2000 CW129  L4    4.737   5.790  14.28  20230913   41.45  297.5  146.4    4.2  0.100   5.263    17     MPO730077
(257899)                   2000 TR27   L5    4.718   5.747  13.20  20230913  345.60   98.0  258.9    5.2  0.098   5.232    19     MPO778838
(257946)                   2000 YJ15   L4    4.917   5.390  12.72  20230913  290.13  237.5  286.8   21.6  0.046   5.154    19     MPO778838
(257967)                   2001 CZ10   L4    4.316   6.094  13.02  20230913  337.63  135.6  335.3   11.4  0.171   5.205    16     MPO778838
(257987)                   2001 DY77   L4    4.835   5.667  13.64  20230913  349.00  326.1  137.3    7.7  0.079   5.251    17     MPO778838
(258239)                   2001 TX121  L5    5.039   5.402  13.16  20230913  283.93  132.1  281.0   14.3  0.035   5.220    16     MPO778841
(258365)                   2001 WW65   L5    4.985   5.732  13.80  20230913  307.45   45.9  339.1    1.1  0.070   5.359    18     MPO778843
(258538)                   2002 BL31   L4    4.301   5.991  13.46  20230913  321.36   37.7   92.8    6.7  0.164   5.146    17     MPO730082
(258567)                   2002 CC94   L4    4.705   5.670  13.22  20230913  326.50  130.3  342.5   16.6  0.093   5.188    16     MPO778846
(258597)                   2002 CJ204  L4    4.744   5.482  13.37  20230913   12.70  100.2  336.5   10.4  0.072   5.113    16     MPO778846
(258621)                   2002 CF316  L4    5.161   5.478  13.65  20230913   17.22   79.3  343.5    6.8  0.030   5.320    17     MPO778846
(258624)                   2002 DM13   L4    5.016   5.287  13.50  20230913   88.10   29.8  341.8    8.2  0.026   5.152    14     MPO778846
(258627)                   2002 DA15   L4    4.723   5.527  13.32  20230913  320.70  335.1  156.0   19.1  0.078   5.125    16     MPO730083
(258628)                   2002 DW15   L4    4.900   5.370  13.18  20230913  333.29  322.8  164.2   19.4  0.046   5.135    17     MPO730083
(258631)                   2002 EZ7    L4    4.984   5.507  13.21  20230913  292.51   40.3  117.0   10.2  0.050   5.245    16     MPO730083
(258646)                   2002 EK51   L4    4.822   5.652  13.70  20230913  292.11  357.7  162.5   14.2  0.079   5.237    16     MPO730083
(258656)                   2002 ES76   L4    4.947   5.470  14.16  20230913   44.65   86.0  323.1    2.7  0.050   5.208    14     MPO778846
(258669)                   2002 ET118  L4    4.646   5.694  13.60  20230913  344.15  307.0  177.4   14.0  0.101   5.170    16     E2023-C53
(258670)                   2002 ED120  L4    4.204   6.230  13.44  20230913  241.58  106.4  113.6    7.3  0.194   5.217    19     MPO730083
(258683)                   2002 EX154  L4    4.908   5.578  12.88  20230913  279.81   93.0   95.3   16.1  0.064   5.243    19     MPO778847
(258684)                   2002 EX157  L4    4.809   5.547  13.74  20230913  100.63  178.6  183.5    8.1  0.071   5.178    17     MPO730083
(258685)                   2002 EK160  L4    4.855   5.659  14.07  20230913  295.29  322.8  200.7    2.8  0.076   5.257    14     MPO730083
(258686)                   2002 EB163  L4    4.911   5.437  13.60  20230913  332.67   30.5   96.7    7.0  0.051   5.174    16     MPO778847
(258698)                   2002 GO29   L4    4.744   5.536  13.98  20230913   10.19   81.7    1.5    5.3  0.077   5.140    13     MPO730083
(258762)                   2002 HX17   L4    4.864   5.531  13.50  20230913  352.07  103.5   10.1    7.2  0.064   5.197    15     MPO778847
(259316)                   2003 FJ38   L4    4.930   5.324  13.91  20230913  319.71  161.8  340.4    6.7  0.038   5.127    17     MPO778852
(259342)                   2003 FB133  L4    4.839   5.557  13.18  20230913  305.97  296.1  198.6   12.6  0.069   5.198    17     MPO778852
(259343)                   2003 FK133  L4    5.072   5.433  13.78  20230913  313.65   81.2   41.5    4.4  0.034   5.252    16     MPO730088
(259357)                   2003 GH46   L4    4.884   5.538  13.31  20230913   14.87  340.5   89.9    6.2  0.063   5.211    13     E2023-F48
(259360)                   2003 GA57   L4    4.852   5.628  13.36  20230913   32.81   24.3   32.1    7.0  0.074   5.240    16     MPO778852
(259361)                   2003 GJ57   L4    5.110   5.524  12.78  20230913  304.46   63.3   88.8   11.5  0.039   5.317    16     MPO778852
(259370)                   2003 HQ14   L4    4.554   5.802  13.21  20230913  265.46  170.2   23.2   19.4  0.121   5.178    13     MPO730089
(260701)                   2005 JV120  L4    4.834   5.339  13.39  20230913  119.32  125.8  216.4   18.2  0.050   5.086    17     MPO730097
(260726)                   2005 LQ2    L4    4.750   5.719  13.71  20230913   93.53  122.5  231.6   25.4  0.093   5.234    11     MPO730097
(261763)                   2006 BC56   L5    4.985   5.309  13.44  20230913  140.42  234.7  322.1    5.1  0.032   5.147    14     MPO778869
(261774)                   2006 BT96   L5    4.966   5.360  13.34  20230913  357.66  184.2  168.0   15.7  0.038   5.163    17     MPO778869
(261781)                   2006 BG132  L5    4.990   5.437  13.55  20230913  158.72   17.2  167.9   18.9  0.043   5.213    13     MPO778869
(261789)                   2006 BW158  L5    4.600   5.787  13.69  20230913   63.96  103.2  160.7    9.5  0.114   5.193    18     MPO778869
(261791)                   2006 BM168  L5    4.896   5.565  13.53  20230913   31.31  139.2  167.1   10.1  0.064   5.230    16     MPO778869
(262002)                   2006 QE57   L4    4.846   5.592  13.64  20230913   33.56   49.8   52.1    5.2  0.071   5.219    17     MPO745323
(263012)                   2007 ES166  L5    4.664   5.758  12.83  20230913   97.44   46.5  182.0   14.3  0.105   5.211    19     MPO778877
(263078)                   2007 RU150  L4    4.592   5.995  12.56  20230913   50.18  312.4  103.6   13.6  0.133   5.293    16     MPO745323
(263080)                   2007 RU226  L4    5.189   5.313  14.24  20230913   43.45  297.9  146.7    5.1  0.012   5.251    17     MPO778877
(263096)                   2007 TO161  L4    4.572   6.016  13.57  20230913  118.96   85.7  279.9    5.5  0.136   5.294    14     E2023-D68
(263122)                   2007 VC6    L4    4.936   5.409  13.54  20230913    9.52  228.4  216.5    5.5  0.046   5.172    14     MPO778878
(263699)                   2008 HV11   L5    4.876   5.513  13.56  20230913  333.27  259.3  110.9   10.3  0.061   5.195    17     MPO778882
(263792)                   2008 QX5    L4    4.969   5.618  12.66  20230913   10.03  153.6  282.1   20.5  0.061   5.294    16     MPO778883
(263794)                   2008 QQ37   L4    4.842   5.357  13.70  20230913  106.51  354.6    0.9    5.9  0.050   5.099    16     MPO778883
(263795)                   2008 QP41   L4    4.697   5.767  13.99  20230913   20.26  269.0  168.1    1.6  0.102   5.232    16     MPO778883
(263796)                   2008 QP42   L4    4.915   5.393  13.75  20230913  251.72    8.1  206.7    7.8  0.046   5.154    17     MPO730118
(263797)                   2008 RK2    L4    4.724   5.696  13.47  20230913   71.64  181.5  206.2    6.8  0.093   5.210    16     MPO778883
(263799)                   2008 RA10   L4    5.108   5.526  13.53  20230913   83.88  139.7  230.4    5.6  0.039   5.317    16     MPO778883
(263800)                   2008 RQ16   L4    5.096   5.343  14.16  20230913  103.09  122.9  230.9    5.0  0.024   5.220    16     MPO778883
(263801)                   2008 RU16   L4    4.945   5.368  13.62  20230913   79.34  166.3  223.1    6.3  0.041   5.157    17     MPO730118
(263802)                   2008 RG19   L4    5.106   5.329  13.27  20230913   19.48  104.3  335.3    7.7  0.021   5.217    16     MPO778883
(263803)                   2008 RK27   L4    4.883   5.500  13.25  20230913   73.06  131.1  259.0    7.3  0.059   5.191    17     MPO778883
(263804)                   2008 RD31   L4    4.803   5.782  13.23  20230913   21.56  250.9  176.7    6.4  0.092   5.293    16     MPO778883
(263805)                   2008 RP31   L4    4.596   5.885  13.88  20230913  357.67  284.6  179.5   11.5  0.123   5.241    16     MPO778883
(263806)                   2008 RW37   L4    4.900   5.618  13.51  20230913   50.36  230.6  174.7    1.1  0.068   5.259    20     MPO778883
(263807)                   2008 RJ45   L4    5.103   5.447  14.09  20230913  338.29   93.8   25.3    3.8  0.033   5.275    15     MPO778883
(263808)                   2008 RQ54   L4    4.989   5.334  14.03  20230913   18.70  196.5  232.1    5.3  0.033   5.161    15     MPO778883
(263809)                   2008 RU55   L4    4.489   5.998  13.43  20230913   45.54  141.0  260.2    5.2  0.144   5.243    17     MPO778883
(263810)                   2008 RD56   L4    4.501   5.818  14.04  20230913   13.06  204.6  244.2    4.9  0.128   5.160    15     MPO778883
(263811)                   2008 RV99   L4    5.186   5.293  14.20  20230913  217.88   99.1  139.5    2.2  0.010   5.240    17     MPO778883
(263812)                   2008 RW121  L4    4.806   5.478  14.21  20230913   59.72  194.5  200.5    9.7  0.065   5.142    12     MPO730119
(263814)                   2008 RS122  L4    5.069   5.417  13.10  20230913   46.99  255.8  159.6   10.8  0.033   5.243    17     MPO730119
(263815)                   2008 RH125  L4    4.888   5.436  13.90  20230913   79.19   36.8  342.3    6.4  0.053   5.162    16     MPO778883
(263816)                   2008 RV125  L4    4.504   5.806  13.29  20230913   81.19  166.5  215.9    7.3  0.126   5.155    16     MPO778883
(263817)                   2008 RJ126  L4    5.086   5.296  14.13  20230913  132.76  319.6   13.3    4.4  0.020   5.191    18     MPO778883
(263818)                   2008 RX126  L4    4.579   5.703  13.45  20230913  357.63  272.4  196.3   11.0  0.109   5.141    14     MPO730119
(263819)                   2008 RR128  L4    5.199   5.550  13.73  20230913   60.95   62.1  321.2    2.8  0.033   5.375    16     MPO730119
(263821)                   2008 SX41   L4    4.780   5.743  13.95  20230913    0.91   77.4   16.8    2.0  0.091   5.261    15     MPO778883
(263822)                   2008 SO49   L4    5.074   5.503  13.72  20230913   90.63  162.6  195.1    7.0  0.041   5.289    12     MPO730119
(263823)                   2008 SD78   L4    5.020   5.682  13.85  20230913  357.11  229.2  223.9    2.8  0.062   5.351    16     MPO778883
(263825)                   2008 SM172  L4    4.528   5.857  12.76  20230913   36.90  140.7  278.3   21.2  0.128   5.192    14     MPO778883
(263826)                   2008 SA180  L4    4.806   5.649  13.59  20230913   68.41    6.7   49.8    5.1  0.081   5.227    17     MPO778883
(263827)                   2008 SR190  L4    5.074   5.467  13.74  20230913  326.88  241.7  250.4    4.8  0.037   5.271    15     MPO778883
(263828)                   2008 SG191  L4    4.912   5.570  13.37  20230913   65.65  171.4  225.5    7.2  0.063   5.241    17     MPO778883
(263829)                   2008 SL222  L4    4.935   5.310  13.91  20230913  117.43  134.2  219.8    6.8  0.037   5.123    16     MPO730119
(263830)                   2008 SK227  L4    4.777   5.742  13.63  20230913   28.35  209.4  225.7    8.8  0.092   5.259    16     MPO730119
(263831)                   2008 SR254  L4    4.856   5.499  12.90  20230913   98.65   99.4  269.2   12.0  0.062   5.177    17     MPO745323
(263832)                   2008 SU279  L4    4.858   5.724  14.01  20230913   21.32  322.7  109.6    1.5  0.082   5.291    17     MPO778883
(263833)                   2008 TJ53   L4    4.779   5.593  13.44  20230913   42.77   47.0  350.1    6.7  0.078   5.186    17     MPO778883
(263834)                   2008 TS54   L4    4.828   5.532  14.13  20230913   49.02   62.5   17.2    4.2  0.068   5.180    15     E2023-C92
(263836)                   2008 TU100  L4    4.970   5.564  13.75  20230913   40.27  140.8  294.5    0.6  0.056   5.267    16     MPO730119
(263837)                   2008 TJ130  L4    4.692   5.708  14.18  20230913   42.75  173.4  279.9    4.2  0.098   5.200    14     E2023-C92
(263840)                   2008 WG61   L4    4.985   5.556  12.64  20230913   29.47  110.4  290.0   26.8  0.054   5.270    12     E2023-C29
(264048)                   2009 RX33   L4    4.957   5.412  13.73  20230913   61.11  184.8  210.3    8.2  0.044   5.184    17     MPO730121
(264050)                   2009 RJ52   L4    4.640   5.818  13.46  20230913  350.74  268.9  201.2   18.0  0.113   5.229    15     E2023-C53
(264051)                   2009 RD54   L4    5.008   5.601  13.85  20230913   35.54  276.1  132.5    2.4  0.056   5.305    18     MPO730121
(264053)                   2009 RY62   L4    4.775   5.335  14.18  20230913  102.00  153.2  196.1    4.6  0.055   5.055    14     MPO778885
(264055)                   2009 SY5    L4    5.078   5.221  13.92  20230913  131.07  124.0  185.7    7.5  0.014   5.149    14     MPO730121
(264057)                   2009 SA26   L4    4.615   5.710  14.45  20230913   61.34  132.3  244.5    1.4  0.106   5.163    11     MPO778885
(264059)                   2009 SP39   L4    4.847   5.625  13.43  20230913  290.99  312.2  210.6   13.7  0.074   5.236    19     MPO730121
(264060)                   2009 SO75   L4    4.992   5.599  13.40  20230913  326.76  352.5  129.9    6.0  0.057   5.295    17     MPO730121
(264065)                   2009 SN136  L4    4.476   5.917  13.46  20230913   14.18  218.3  237.8    3.6  0.139   5.197    17     MPO778885
(264066)                   2009 SR136  L4    4.582   5.919  13.88  20230913   56.65   16.9   13.1    2.5  0.127   5.250    15     MPO745323
(264068)                   2009 SQ148  L4    4.558   5.780  13.47  20230913   52.70  151.8  242.3    8.2  0.118   5.169    15     E2023-D35
(264071)                   2009 SW159  L4    4.852   5.725  13.87  20230913   31.17   50.1    2.7    7.0  0.083   5.288    14     MPO778885
(264073)                   2009 SA184  L4    4.640   5.834  13.94  20230913   43.20  125.0  280.8    5.3  0.114   5.237    15     MPO778885
(264074)                   2009 SF185  L4    4.507   5.818  13.15  20230913   37.35  182.3  243.8    7.5  0.127   5.163    17     MPO778885
(264075)                   2009 ST185  L4    5.218   5.410  13.36  20230913  286.46  358.8  152.0    4.3  0.018   5.314    17     MPO778885
(264076)                   2009 SM198  L4    4.662   5.763  14.18  20230913   24.84   73.7  353.5    9.2  0.106   5.213    13     MPO778885
(264083)                   2009 SM246  L4    4.575   5.760  14.69  20230913   10.55   37.0   54.4    7.4  0.115   5.168    14     MPO778885
(264084)                   2009 SN246  L4    4.791   5.397  14.14  20230913   77.60  247.6  133.9    4.5  0.059   5.094    15     MPO730121
(264085)                   2009 SF247  L4    4.585   5.786  14.31  20230913   21.65  197.7  238.6    4.4  0.116   5.185    14     MPO778885
(264086)                   2009 SN249  L4    5.095   5.356  13.82  20230913  208.77   54.2  182.2    8.3  0.025   5.225    14     MPO730121
(264087)                   2009 SL252  L4    4.674   5.673  13.73  20230913  252.37   87.9  118.1    4.8  0.097   5.174    17     MPO730121
(264089)                   2009 SJ256  L4    4.663   5.596  13.52  20230913   13.15   77.0  349.8    7.6  0.091   5.130    14     MPO778885
(264094)                   2009 SS287  L4    4.359   6.044  13.60  20230913   29.44  178.1  250.4    7.6  0.162   5.201    13     MPO778885
(264100)                   2009 SO301  L4    4.385   6.026  14.04  20230913  303.19  126.5   28.6    8.3  0.158   5.205    15     MPO778885
(264101)                   2009 SN302  L4    4.811   5.736  13.59  20230913   33.13  175.3  234.9    6.5  0.088   5.273    14     MPO778885
(264103)                   2009 SF306  L4    4.516   5.852  14.00  20230913   27.81  251.6  167.8    8.0  0.129   5.184    14     MPO730121
(264109)                   2009 SK339  L4    4.707   5.816  12.88  20230913   18.45  110.2  326.9    6.7  0.105   5.261    19     MPO778885
(264110)                   2009 SL339  L4    4.813   5.591  13.48  20230913   45.12  188.8  228.6    8.1  0.075   5.202    15     MPO730121
(264114)                   2009 SK353  L4    4.121   6.257  14.03  20230913   43.18  189.9  215.0    5.1  0.206   5.189    16     MPO778885
(264116)                   2009 SV355  L4    4.597   5.763  14.07  20230913   86.85  320.3   38.7    6.9  0.113   5.180    14     MPO730121
(264119) Georgeorton       2009 TT7    L4    4.959   5.621  12.97  20230913  354.67   43.4   39.6   26.1  0.063   5.290    12     MPO778885
(264120)                   2009 TJ10   L4    4.760   5.540  13.09  20230913   85.18   99.5  275.6   11.7  0.076   5.150    13     MPO730122
(264121)                   2009 TD16   L4    4.527   5.900  13.16  20230913   30.74  334.7   94.9    7.2  0.132   5.213    16     E2023-Q21
(264123)                   2009 TG33   L4    4.514   5.747  12.79  20230913   22.50  186.6  251.8   15.8  0.120   5.131    18     MPO778885
(264125)                   2009 TE35   L4    4.736   5.814  12.99  20230913   27.30   15.2   61.6    8.4  0.102   5.275    15     MPO778885
(264130)                   2009 TK46   L4    4.997   5.372  12.89  20230913  352.67   36.5   78.0   26.2  0.036   5.185    16     MPO778885
(264132)                   2009 UC5    L4    4.556   5.848  13.28  20230913   55.26  335.9   63.9    7.0  0.124   5.202    17     MPO778885
(264133)                   2009 UX15   L4    4.741   5.705  13.40  20230913   18.99  220.4  220.2    4.3  0.092   5.223    16     MPO778885
