Designation (and name)     Prov. Des.  Ln      q       Q      H     Epoch      M     Peri.  Node    Incl.   e      a      Opps.     Ref.
  (3596) Meriones          1985 VO     L4    4.794   5.573   9.31  20230913   47.81   66.8  356.7   23.5  0.075   5.183    33     MPO775992
  (3708) Socus             1974 FV1    L5    4.378   6.041   9.41  20230913  342.13   57.9  291.2   13.4  0.160   5.210    32     MPO775994
  (3709) Polypoites        1985 TL3    L4    4.900   5.546   9.27  20230913    5.73  248.9  187.1   19.6  0.062   5.223    32     MPO775994
  (3793) Leonteus          1985 TE3    L4    4.749   5.697   8.81  20230913    0.79  262.6  200.5   20.9  0.091   5.223    38     MPO775996
  (3794) Sthenelos         1985 TF3    L4    4.443   5.976  10.59  20230913   78.89   36.5  343.2    6.1  0.147   5.209    34     MPO775996
  (3801) Thrasymedes       1985 VS     L4    5.197   5.448  11.12  20230913   28.23  208.3  209.5   28.5  0.024   5.322    31     MPO775996
  (4007) Euryalos          1973 SR     L4    4.887   5.485  10.41  20230913   21.33   77.6    6.7   11.0  0.058   5.186    30     MPO776000
  (4035) Thestor           1986 WD     L4    4.975   5.582   9.60  20230913   14.15  199.4  233.7   12.1  0.057   5.279    33     MPO776000
  (4057) Demophon          1985 TQ     L4    4.613   5.868  10.32  20230913  359.91   60.8   24.3    2.9  0.120   5.240    31     MPO776000
  (4060) Deipylos          1987 YT1    L4    4.412   6.045   9.46  20230913  330.30  308.6  168.2   16.2  0.156   5.228    33     MPO776000
  (4063) Euforbo           1989 CG2    L4    4.568   5.814   8.76  20230913   31.34  318.8  113.5   18.9  0.120   5.191    33     MPO776001
  (4068) Menestheus        1973 SW     L4    4.750   5.523   9.69  20230913  311.20  317.6  177.7   17.6  0.075   5.136    31     MPO776001
  (4086) Podalirius        1985 VK2    L4    4.627   5.921   9.35  20230913   57.51  357.1   55.0   21.7  0.123   5.274    30     MPO776001
  (4138) Kalchas           1973 SM     L4    4.944   5.404  10.20  20230913   88.75  166.9  208.0    2.1  0.045   5.174    35     MPO776002
  (4348) Poulydamas        1988 RU     L5    4.719   5.750   9.68  20230913  306.85  160.0  220.1    8.0  0.098   5.234    33     MPO776006
  (4489) Dracius           1988 AK     L4    4.869   5.507   9.14  20230913  337.91   10.1   86.4   22.3  0.062   5.188    30     MPO776008
  (4501) Eurypylos         1989 CJ3    L4    4.939   5.509  10.57  20230913   46.62  180.5  244.3    8.3  0.055   5.224    31     MPO776009
  (4543) Phoinix           1989 CQ1    L4    4.638   5.645   9.83  20230913   69.74   85.4  325.4   14.7  0.098   5.142    30     MPO776009
  (4707) Khryses           1988 PY     L5    4.559   5.832  10.74  20230913  323.86   66.4  310.2    7.1  0.123   5.196    31     MPO776012
  (4708) Polydoros         1988 RT     L5    4.922   5.564  10.11  20230913  288.00  103.8  281.2    7.0  0.061   5.243    29     MPO776012
  (4709) Ennomos           1988 TU2    L5    5.145   5.393   8.67  20230913   15.75   79.0  253.1   25.4  0.024   5.269    30     MPO776012
  (4715) Medesicaste       1989 TS1    L5    4.853   5.374   9.86  20230913  352.40  344.7    1.6   18.7  0.051   5.113    27     MPO776012
  (4722) Agelaos           4271 T-3    L5    4.616   5.786  10.18  20230913  307.84  315.5   65.0    8.8  0.113   5.201    30     MPO776012
  (4754) Panthoos          5010 T-3    L5    5.218   5.336  10.14  20230913   12.41  179.0  154.9   12.3  0.011   5.277    32     MPO776013
  (4791) Iphidamas         1988 PB1    L5    4.918   5.394  10.15  20230913  262.33  163.9  261.5   26.0  0.046   5.156    27     MPO776014
  (4792) Lykaon            1988 RK1    L5    4.765   5.735  10.24  20230913  337.86  284.1   61.9    9.3  0.092   5.250    29     MPO776014
  (4805) Asteropaios       1990 VH7    L5    4.719   5.675  10.16  20230913  311.17   90.5  278.4   12.0  0.092   5.197    31     MPO776014
  (4827) Dares             1988 QE     L5    4.907   5.359  10.62  20230913  292.27  167.7  242.0    7.7  0.044   5.133    28     MPO776014
  (4828) Misenus           1988 RV     L5    4.950   5.376  10.52  20230913  204.67  128.7  353.0   14.9  0.041   5.163    26     MPO776014
  (4829) Sergestus         1988 RM1    L5    4.921   5.456  11.30  20230913   11.00  119.7  221.8    8.6  0.052   5.189    28     MPO776014
  (4832) Palinurus         1988 TU1    L5    4.517   6.009  10.06  20230913  348.17  209.9  135.1   19.1  0.142   5.263    29     MPO776015
  (4833) Meges             1989 AL2    L4    4.746   5.715   9.13  20230913   58.06  281.7  101.7   34.7  0.093   5.230    29     MPO776015
  (4834) Thoas             1989 AM2    L4    4.489   5.916   9.25  20230913   15.01  353.1   76.0   28.5  0.137   5.202    27     MPO776015
  (4835) Asaeus            1989 BQ     L4    3.882   6.503  10.70  20230913  342.71  355.5  125.4   19.6  0.252   5.192    26     MPO776015
  (4836) Medon             1989 CK1    L4    4.646   5.787   9.64  20230913  351.80   34.0   82.1   19.4  0.109   5.217    30     MPO776015
  (4867) Polites           1989 SZ     L5    5.076   5.274  10.01  20230913   81.79  284.4  335.2   27.2  0.019   5.175    27     MPO776015
  (4902) Thessandrus       1989 AN2    L4    4.973   5.431   9.88  20230913    9.17  272.1  170.3    9.1  0.044   5.202    31     MPO776016
  (4946) Askalaphus        1988 BW1    L4    5.061   5.580  10.23  20230913  181.42  205.3   59.0   21.9  0.049   5.321    28     MPO776017
  (5012) Eurymedon         9507 P-L    L4    4.812   5.717  10.66  20230913   77.86  335.6   34.8    5.0  0.086   5.265    35     MPO776018
  (5023) Agapenor          1985 TG3    L4    4.892   5.431  10.47  20230913   48.57   88.1  308.3   11.8  0.052   5.162    30     MPO776018
  (5025) Mecisteus         1986 TS6    L4    4.797   5.586  10.45  20230913   26.69   74.9  347.8   11.0  0.076   5.191    28     MPO776018
  (5027) Androgeos         1988 BX1    L4    4.947   5.652   9.81  20230913   20.22  346.0   78.2   31.5  0.067   5.300    30     MPO776018
  (5028) Halaesus          1988 BY1    L4    4.569   5.950  10.33  20230913   35.29   12.3   44.0   21.5  0.131   5.259    31     MPO776018
  (5041) Theotes           1973 SW1    L4    5.012   5.389  10.89  20230913  342.33  103.3   29.9   10.6  0.036   5.201    30     MPO776018
  (5119) Imbrius           1988 RA1    L5    4.626   5.774  10.40  20230913    1.05   17.1  317.0   16.0  0.110   5.200    30     MPO776020
  (5120) Bitias            1988 TZ1    L5    4.675   5.854  10.43  20230913    0.53   24.5  295.9   25.0  0.112   5.264    28     MPO776020
  (5123) Cynus             1989 BL     L4    4.682   5.761  10.15  20230913  337.49   33.1   78.2    8.5  0.103   5.222    32     MPO776020
  (5126) Achaemenides      1989 CH2    L4    5.107   5.388  10.61  20230913  346.51  351.3  116.5   29.9  0.027   5.247    28     MPO776020
  (5130) Ilioneus          1989 SC7    L5    5.131   5.256   9.85  20230913  315.34  110.4  242.5   15.8  0.012   5.193    29     MPO776020
  (5144) Achates           1991 XX     L5    3.769   6.598   9.26  20230913   21.76  331.9  322.8    8.9  0.273   5.184    38     MPO776020
  (5209) Oloosson          1989 CW1    L4    4.938   5.482  10.37  20230913   54.67  105.4  322.7    9.0  0.052   5.210    29     MPO776021
  (5233) Nastes            1988 RL10   L5    4.924   5.377  11.62  20230913  144.44   47.1  142.5    3.4  0.044   5.151    29     MPO776022
  (5244) Amphilochos       1973 SQ1    L4    5.038   5.331  10.62  20230913  121.42  129.9  213.3    6.2  0.028   5.184    33     MPO776022
  (5254) Ulysses           1986 VG1    L4    4.584   5.861   9.24  20230913   25.54  344.5   76.0   24.2  0.122   5.223    31     MPO776022
  (5257) Laogonus          1988 RS10   L5    4.997   5.321  12.03  20230913  107.84   89.8  127.0    2.9  0.031   5.159    32     MPO776022
  (5258) Rhoeo             1989 AU1    L4    4.751   5.561  10.37  20230913  322.85  231.8  248.0    5.9  0.079   5.156    29     MPO776022
  (5259) Epeigeus          1989 BB1    L4    4.841   5.585  10.44  20230913  192.38  200.9   67.5   15.9  0.071   5.213    31     MPO776022
  (5264) Telephus          1991 KC     L4    4.623   5.797   9.49  20230913  333.61  359.4  121.9   33.6  0.113   5.210    31     MPO776022
  (5283) Pyrrhus           1989 BW     L4    4.414   5.976   9.89  20230913   25.49  357.1   71.1   17.5  0.150   5.195    30     MPO776023
  (5284) Orsilocus         1989 CK2    L4    4.783   5.669  10.16  20230913    8.53  343.8  102.7   20.2  0.085   5.226    28     MPO776023
  (5285) Krethon           1989 EO11   L4    4.926   5.460  10.19  20230913   79.18  258.3  144.3   25.1  0.051   5.193    28     MPO776023
  (5436) Eumelos           1990 DK     L4    4.793   5.611  10.51  20230913  340.54  221.3  254.0    7.4  0.079   5.202    30     MPO776025
  (5476) Mulius            1989 TO11   L5    4.731   5.503  10.72  20230913   44.97   96.6  198.5   13.7  0.075   5.117    30     MPO776026
  (5511) Cloanthus         1988 TH1    L5    4.629   5.880  10.39  20230913   43.93  122.3  172.7   11.2  0.119   5.255    32     MPO776027
  (5637) Gyas              1988 RF1    L5    4.550   5.817  11.71  20230913   19.75  331.5    1.9   22.4  0.122   5.184    28     MPO776029
  (5638) Deikoon           1988 TA3    L5    4.680   5.791  10.62  20230913   63.64   93.0  156.0   10.9  0.106   5.235    32     MPO776029
  (5648) Axius             1990 VU1    L5    4.283   5.999   9.86  20230913  346.63  269.3   71.0   22.7  0.167   5.141    28     MPO776029
  (5652) Amphimachus       1992 HS3    L4    4.813   5.618  10.24  20230913   67.22  109.5  281.6    1.9  0.077   5.215    33     MPO776029
  (5907) Rhigmus           1989 TU5    L5    4.646   5.658  11.24  20230913   84.41  142.8  107.8    1.9  0.098   5.152    29     MPO776034
  (6002) Eetion            1988 RO     L5    4.741   5.710  10.65  20230913  329.03  158.9  209.7   15.6  0.093   5.225    34     MPO776035
  (6090) Aulis             1989 DJ     L4    4.992   5.602   9.59  20230913   36.41   75.5  328.5   20.2  0.058   5.297    33     MPO776037
  (6443) Harpalion         1988 RH12   L5    4.571   5.901  12.29  20230913  318.50  200.0  168.2    9.5  0.127   5.236    28     MPO776044
  (6545) Leitus            1986 TR6    L4    4.890   5.437  10.24  20230913   49.54  148.8  278.0   12.0  0.053   5.164    31     MPO776045
  (6997) Laomedon          3104 T-3    L5    4.653   5.707  10.65  20230913   77.71   59.3  195.3   19.1  0.102   5.180    30     MPO776054
  (6998) Tithonus          3108 T-3    L5    4.808   5.546  11.57  20230913   31.45  260.0   35.2    1.7  0.071   5.177    30     MPO776054
  (7119) Hiera             1989 AV2    L4    4.597   5.656   9.81  20230913   33.16  123.9  285.5   19.3  0.103   5.126    30     MPO776056
  (7152) Euneus            1973 SH1    L4    4.821   5.490  10.37  20230913   35.14  307.7  113.0    3.7  0.065   5.156    29     MPO776056
  (7214) Anticlus          1973 SM1    L4    5.012   5.384  11.85  20230913   68.40  217.6  195.5   13.4  0.036   5.198    27     MPO776058
  (7352) Hypsenor          1994 CO     L5    4.936   5.316  10.04  20230913   64.74  128.7  130.3    8.2  0.037   5.126    30     MPO776060
  (7543) Prylis            1973 SY     L4    4.868   5.544  10.67  20230913   66.72  208.1  195.6   14.1  0.065   5.206    31     MPO776063
  (7641) Cteatus           1986 TT6    L4    4.929   5.497   9.53  20230913  337.90  228.5  242.1   34.7  0.054   5.213    28     MPO776065
  (7815) Dolon             1987 QN     L5    4.946   5.581  10.33  20230913  310.55  219.4  147.5   20.4  0.060   5.263    29     MPO776068
  (8060) Anius             1973 SD1    L4    4.723   5.697  11.05  20230913   73.03   34.2    6.3    7.1  0.093   5.210    28     MPO776072
  (8125) Tyndareus         5493 T-2    L4    4.950   5.455  10.91  20230913   98.10   59.2  323.1   13.1  0.049   5.203    31     MPO776074
  (8241) Agrius            1973 SE1    L4    4.948   5.378  11.38  20230913  186.75  265.9   22.7    4.3  0.042   5.163    28     MPO776076
  (8317) Eurysaces         4523 P-L    L4    5.073   5.556  11.25  20230913  141.25  116.9  208.0    0.9  0.045   5.314    30     MPO776077
  (9023) Mnesthus          1988 RG1    L5    4.873   5.553  10.28  20230913  355.77  160.2  159.9   23.9  0.065   5.213    33     MPO776090
  (9030) Othryoneus        1989 UX5    L5    5.236   5.406  11.28  20230913  267.63    6.6   76.6    4.2  0.016   5.321    29     MPO776090
  (9142) Rhesus            5191 T-3    L5    4.484   5.833  10.74  20230913    6.51  174.1  141.2   12.8  0.131   5.158    29     MPO776092
  (9430) Erichthonios      1996 HU10   L5    4.975   5.542  11.46  20230913   40.62  312.1  326.4    1.0  0.054   5.259    27     MPO776097
  (9431) Pytho             1996 PS1    L4    4.676   5.558  10.69  20230913   65.51  186.1  201.5   21.3  0.086   5.117    27     MPO776097
  (9590) Hyria             1991 DK1    L4    4.902   5.306  12.11  20230913  235.22  190.6   28.9    6.7  0.040   5.104    26     MPO776099
  (9694) Lycomedes         6581 P-L    L4    4.889   5.264  10.81  20230913   31.52   60.8  350.0    5.0  0.037   5.077    27     MPO776101
  (9712) Nauplius          1973 SO1    L4    4.555   5.893  11.02  20230913    0.25  275.0  176.6    8.5  0.128   5.224    29     MPO776101
  (9713) Oeax              1973 SP1    L4    4.882   5.456  11.38  20230913  339.13  314.5  156.0    4.2  0.056   5.169    27     MPO776101
  (9790) Deipyrus          1995 OK8    L4    4.952   5.530  11.05  20230913   61.50  153.2  231.2    5.9  0.055   5.241    27     MPO776103
  (9799) Thronium          1996 RJ     L4    4.942   5.441   9.68  20230913   75.32  116.2  259.6   30.5  0.048   5.192    26     MPO776103
  (9807) Rhene             1997 SJ4    L4    4.399   6.012  11.49  20230913   24.70  197.7  232.5    5.0  0.155   5.206    24     MPO776103
  (9817) Thersander        6540 P-L    L4    5.020   5.468  11.58  20230913  327.78   85.1   24.3    9.2  0.043   5.244    26     MPO776103
  (9818) Eurymachos        6591 P-L    L4    5.162   5.220  11.13  20230913  302.99  118.2   18.5    7.5  0.006   5.191    30     MPO776103
  (9828) Antimachos        1973 SS     L4    4.744   5.637  12.07  20230913  347.88   19.9   97.1    3.2  0.086   5.191    26     MPO776103
  (9857) Hecamede          1991 EN     L4    5.036   5.296  10.36  20230913  174.98    7.0  289.4   19.6  0.025   5.166    26     MPO776104
  (9907) Oileus            6541 P-L    L4    4.911   5.619  11.65  20230913   19.33  265.7  153.7    8.2  0.067   5.265    29     MPO776105
 (10247) Amphiaraos        6629 P-L    L4    5.241   5.330  11.28  20230913    5.79  323.2  162.5    4.2  0.009   5.285    28     MPO776110
 (10664) Phemios           5187 T-2    L4    5.035   5.370  11.46  20230913    6.31  231.9  240.1    8.6  0.032   5.202    29     MPO776117
 (10989) Dolios            1973 SL1    L4    4.722   5.631  11.35  20230913   66.36  207.5  187.3   10.6  0.088   5.176    26     MPO776122
 (11089)                   1994 CS8    L5    5.068   5.284  10.81  20230913  170.83   16.1  120.1    6.9  0.021   5.176    30     MPO776124
 (11251) Icarion           1973 SN1    L4    5.168   5.176  12.18  20230913  279.21   82.3  102.0    4.2  0.001   5.172    27     MPO776127
 (11252) Laertes           1973 SA2    L4    4.980   5.300  10.71  20230913   44.62  329.2   78.3    5.9  0.031   5.140    26     MPO776127
 (11273)                   1988 RN11   L5    4.701   5.674  11.70  20230913   75.77   56.5  171.7    1.4  0.094   5.187    29     MPO776127
 (11275)                   1988 SL3    L5    4.720   5.671  11.77  20230913  357.83  217.7  122.6   25.2  0.092   5.196    29     MPO776127
 (11351) Leucus            1997 TS25   L4    4.954   5.654  10.91  20230913   59.63  161.3  251.1   11.5  0.066   5.304    25     MPO776128
 (11395) Iphinous          1998 XN77   L4    4.868   5.565   9.93  20230913  120.64  119.8  213.2   24.1  0.067   5.217    27     MPO776129
 (11396)                   1998 XZ77   L4    4.880   5.554  10.70  20230913   81.49  178.5  195.7   12.6  0.065   5.217    32     MPO776129
 (11397)                   1998 XX93   L4    4.933   5.602  10.28  20230913   69.85  152.2  261.2   21.0  0.064   5.268    28     MPO776129
 (11428) Alcinoos          4139 P-L    L4    5.254   5.410  11.21  20230913   28.60   61.0    3.3   17.3  0.015   5.332    28     MPO776130
 (11429) Demodokus         4655 P-L    L4    5.060   5.384  10.55  20230913  330.43   96.7    6.2   17.1  0.031   5.222    28     MPO776130
 (11487)                   1988 RG10   L5    4.897   5.405  11.40  20230913  348.28    6.9  342.4    3.5  0.049   5.151    28     MPO776130
 (11488)                   1988 RM11   L5    4.999   5.378  11.57  20230913  334.89  231.5  140.6    3.4  0.037   5.188    27     MPO776130
 (11509) Thersilochos      1990 VL6    L5    4.429   5.919  10.26  20230913  349.91  128.8  214.7   18.5  0.144   5.174    27     MPO776131
 (11552) Boucolion         1993 BD4    L5    4.465   6.100  10.14  20230913   23.15  182.6  138.4   14.7  0.155   5.283    26     MPO776132
 (11554) Asios             1993 BZ12   L5    4.943   5.628  10.53  20230913   82.91  129.0  128.1   13.7  0.065   5.285    27     MPO776132
 (11663)                   1997 GO24   L5    4.475   5.792  11.05  20230913   15.39   89.4  226.0   14.5  0.128   5.133    26     MPO776133
 (11668) Balios            1997 VV1    L4    4.417   5.888  11.61  20230913   51.09   15.9   19.9    4.7  0.143   5.153    24     MPO776133
 (11869)                   1989 TS2    L5    5.005   5.456  11.59  20230913   10.17  160.5  149.7   11.3  0.043   5.231    26     MPO776137
 (11887) Echemmon          1990 TV12   L5    4.698   5.660  10.95  20230913  339.04  112.0  242.7   24.1  0.093   5.179    30     MPO776137
 (12052) Aretaon           1997 JB16   L5    4.863   5.580  10.71  20230913    0.05   87.8  219.8   11.5  0.069   5.222    27     MPO776139
 (12054)                   1997 TT9    L4    4.821   5.501  11.93  20230913   32.59   40.3   44.5   10.1  0.066   5.161    25     MPO776139
